id,target
malawi-cyclone_00000000_X_destroyed,0
malawi-cyclone_00000000_X_major_damage,0
malawi-cyclone_00000000_X_minor_damage,0
malawi-cyclone_00000000_X_no_damage,0
malawi-cyclone_00000001_X_destroyed,0
malawi-cyclone_00000001_X_major_damage,0
malawi-cyclone_00000001_X_minor_damage,0
malawi-cyclone_00000001_X_no_damage,0
malawi-cyclone_00000002_X_destroyed,0
malawi-cyclone_00000002_X_major_damage,0
malawi-cyclone_00000002_X_minor_damage,0
malawi-cyclone_00000002_X_no_damage,0
malawi-cyclone_00000003_X_destroyed,0
malawi-cyclone_00000003_X_major_damage,0
malawi-cyclone_00000003_X_minor_damage,0
malawi-cyclone_00000003_X_no_damage,0
malawi-cyclone_00000004_X_destroyed,0
malawi-cyclone_00000004_X_major_damage,0
malawi-cyclone_00000004_X_minor_damage,0
malawi-cyclone_00000004_X_no_damage,0
malawi-cyclone_00000005_X_destroyed,0
malawi-cyclone_00000005_X_major_damage,0
malawi-cyclone_00000005_X_minor_damage,0
malawi-cyclone_00000005_X_no_damage,0
malawi-cyclone_00000006_X_destroyed,0
malawi-cyclone_00000006_X_major_damage,0
malawi-cyclone_00000006_X_minor_damage,0
malawi-cyclone_00000006_X_no_damage,0
malawi-cyclone_00000007_X_destroyed,0
malawi-cyclone_00000007_X_major_damage,0
malawi-cyclone_00000007_X_minor_damage,0
malawi-cyclone_00000007_X_no_damage,0
malawi-cyclone_00000008_X_destroyed,0
malawi-cyclone_00000008_X_major_damage,0
malawi-cyclone_00000008_X_minor_damage,0
malawi-cyclone_00000008_X_no_damage,0
malawi-cyclone_00000009_X_destroyed,0
malawi-cyclone_00000009_X_major_damage,0
malawi-cyclone_00000009_X_minor_damage,0
malawi-cyclone_00000009_X_no_damage,0
malawi-cyclone_00000010_X_destroyed,0
malawi-cyclone_00000010_X_major_damage,0
malawi-cyclone_00000010_X_minor_damage,0
malawi-cyclone_00000010_X_no_damage,0
malawi-cyclone_00000011_X_destroyed,0
malawi-cyclone_00000011_X_major_damage,0
malawi-cyclone_00000011_X_minor_damage,0
malawi-cyclone_00000011_X_no_damage,0
malawi-cyclone_00000012_X_destroyed,0
malawi-cyclone_00000012_X_major_damage,0
malawi-cyclone_00000012_X_minor_damage,0
malawi-cyclone_00000012_X_no_damage,0
malawi-cyclone_00000013_X_destroyed,0
malawi-cyclone_00000013_X_major_damage,0
malawi-cyclone_00000013_X_minor_damage,0
malawi-cyclone_00000013_X_no_damage,0
malawi-cyclone_00000014_X_destroyed,0
malawi-cyclone_00000014_X_major_damage,0
malawi-cyclone_00000014_X_minor_damage,0
malawi-cyclone_00000014_X_no_damage,0
malawi-cyclone_00000015_X_destroyed,0
malawi-cyclone_00000015_X_major_damage,0
malawi-cyclone_00000015_X_minor_damage,0
malawi-cyclone_00000015_X_no_damage,0
malawi-cyclone_00000016_X_destroyed,0
malawi-cyclone_00000016_X_major_damage,0
malawi-cyclone_00000016_X_minor_damage,0
malawi-cyclone_00000016_X_no_damage,0
malawi-cyclone_00000017_X_destroyed,0
malawi-cyclone_00000017_X_major_damage,0
